name,line
ANTS,</b> They're here!
ANT,</b> Run!
DOT,</b> Mom! Where are you?
ANTS,</b> They're coming! Run!
QUEEN,</b> Dot! Dot!
DOT,</b> Mom! Mom!
ATTA,</b> Single file!
QUEEN,</b> Thank heavens!
ATTA,"</b> Please, everyone. Uh, food to the offering stone."
QUEEN,"</b> (whistle) Okay, everyone, single file. Food to the offering stone and into the anthill. Now let's go!"
ANT,"</b> Go, go, go, go!"
ATTA,"</b> Come on! Keep moving, keep moving! Good!"
ATTA,</b> Okay. That's everyone.
FLIK,"</b> Hey! Hey, wait for me!"
FLIK,"</b> Get the food to the offering stone, then into the anthill."
FLIK,</b> Huh?
FLIK,"</b> (scream) Ah! No! No, no, no, no, no, no, no! "
FLIK,</b> No! Oh! Oh! (grunts)
FLIK,"</b> Oh, no..."
FLIK,</b> Princess Atta! Princess Atta! Princess Attaaaa!
ATTA,"</b> (whispering) They come, they eat, they leave. They come, they eat, they leave."
FLIK,"</b> Excuse me. 'Scuse me, pardon me. Pardon me. Excuse me, coming through. 'Scuse me, 'scuse me. Sorry, sorry. Coming through. Princess Atta, there's something I need to tell you."
ATTA,"</b> Not now, Flik."
FLIK,"</b> (whispering) But, Your Highness, it's about the offering!"
ATTA,</b> Shh!
GRASSHOPPER,"</b> Hey, what's goin' on?"
MOLT,</b> Yeah! Where's the food?
ATTA,</b> (whispers) What did you do?
FLIK,</b> It was an accident?
GRASSHOPPER,</b> (cackling)
GRASSHOPPERS,</b> (whooping)
MOLT,</b> Boo! (laugh) Where's the food?
FLIK,</b> (shuddering) Hopper.
HOPPER,</b> So where is it?
HOPPER,</b> Where's my food?!
ATTA,</b> Uh... I-Isn't it up...there?
HOPPER,</b> What?
ATTA,</b> The food was in a leaf sitting on top--
HOPPER,</b> Excuse me?
ATTA,</b> Are you sure it's not up there?
HOPPER,</b> Are you saying I'm stupid?
ATTA,</b> No.
HOPPER,"</b> Do I look...stupid...to you? Let's just think about the logic, shall we? Let's just think about it for a second. If it was up there, would I be coming down here, to your level, looking for it?!"
ATTA,</b> I-- 
HOPPER,</b> Why am I even talking to you? You're not the queen. You don't smell like the queen.
QUEEN,"</b> She's learning to take over from me, Hopper."
HOPPER,"</b> Oh, I see. Under new management. So it's your fault."
ATTA,"</b> No, i-it wasn't me. It was--"
HOPPER,</b> Uh-uh-uh. First rule of leadership: everything is your fault.
ATTA,"</b> But, but I--"
HOPPER,"</b> It's a bug-eat-bug world out there, Princess. One of those circle-of-life kind of things. Now, let me tell you how things are supposed to work. The sun grows the food. The ants pick the food. The grasshoppers eat the food--"
MOLT,"</b> And the birds eat the grasshoppers. Hey, like the one that nearly ate you, you 'member? You 'member-- Oh, you should've seen it."
HOPPER,</b> Molt.
MOLT,"</b> This blue jay, he has him halfway down his throat, okay? And Hopper, Hopper's kicking and screaming, okay? And I'm scared, okay? I'm not going anywhere near, okay? Oh, come on! It's a great story!"
MOLT,</b> Ow! Ow! Ow! Ow! Ow! Ow-ow--
MOLT,</b> Oof!
HOPPER,"</b> I swear, if I hadn't promised Mother on her deathbed that I wouldn't kill you, I would kill you."
MOLT,"</b> And believe me, no one appreciates that more than I do."
HOPPER,</b> Shut up! I don't want to hear another word out of you while we're on this island. Do you understand me?
MOLT,</b> (whimper)
HOPPER,"</b> I said, do you understand me?!"
MOLT,"</b> Well, how can I answer? You said I couldn't say another word."
HOPPER,</b> (growl)
MOLT,</b> Ah! Remember Ma!
HOPPER,"</b> (panting) Hey, I'm a compassionate insect. There's still a few months 'til the rains come, so you can all just try again."
QUEEN,"</b> But, Hopper, since it's almost the rainy season, we need this time to gather food for ourselves."
HOPPER,"</b> Listen, if you don't keep your end of the bargain, then I can't guarantee your safety. And there are insects out there that will take advantage of you. Someone could get hurt. (snaps fingers)"
DOT,</b> (shivering)
THUMPER,"</b> (snarling, roars)"
DOT,"</b> (gasps, panting, yelps)"
HOPPER,</b> What's the matter? You scared of grasshoppers?
DOT,</b> (panicking)
FLIK,</b> Dot!
HOPPER,</b> You don't like Thumper?
DOT,</b> (whimpering)
THUMPER,</b> (snarling)
FLIK,</b> Leave her alone!
HOPPER,</b> You want her? Go ahead. Take her.
DOT,</b> (whimpering)
HOPPER,</b> No? Then get back in line.
HOPPER,</b> It seems to me that you ants are forgetting your place. So let's double the order of food.
FLIK,</b> (gasp)
ATTA,"</b> No! But, but, but--"
HOPPER,</b> We'll be back at the end of the season...
HOPPER,</b> ...When the last...leaf...falls.
HOPPER,</b> You ants have a nice summer. Let's ride!
GRASSHOPPERS,</b> Yee-haw! (whooping)
MOLT,"</b> (laughs, pained grunt)"
FLIK,</b> (nervous chuckle)
ATTA,"</b> Flik, what do you have to say for yourself?"
FLIK,"</b> Sorry. I-- I'm sorry for the way I am. I didn't mean for things to go so wrong. I...especially didn't want to make you look bad, Princess."
ATTA,"</b> Well, Flik, you did."
FLIK,</b> I was just trying to help.
 SOIL,</b> Then help us. Don't help us.
FLIK,</b> Help? Help? Help?
ATTA,"</b> Flik, you are sentenced to one month digging in the tunnels."
THORNY,"</b> Uh, excuse me, Your Highness. Need I remind you of Flik's tunnel-within-a-tunnel project?"
FLIK,</b> Helpers to help us. That could-- That's it! We could...
THORNY,</b> It took the whole engineering department two days to dig him out. Send him to Health and Ant Services.
 FLORA,"</b> Heavens, no!"
FLIK,"</b> We could leave the island. The riverbed's dry right now. We could just walk right across the riverbed. We could go get helpers. We could! We could leave, sure. We could go find helpers to help us. It's perfect!"
QUEEN,</b> Perfect? What's so perfect?
FLIK,"</b> Your Highness, don't you see? We could send someone to get help!"
ANT COUNCIL,</b> (gasps)
ATTA,</b> Leave the island?
QUEEN,"</b> Now, why didn't I think of that? Oh! Because it's suicide!"
THORNY,</b> She's right! We never leave the island!
CORNELIUS,</b> Never leave!
THORNY,</b> There's snakes and birds and bigger bugs out there!
FLIK,</b> Exactly! Bigger bugs! We could find bigger bugs to come here and fight and forever rid us of Hopper and his gang!
 SOIL,</b> Ludicrous!
 FLORA,</b> Who would do a crazy thing like that?
FLIK,</b> I'll volunteer. I'd be very happy to volunteer.
QUEEN,"</b> (laughs) You got a lot of spunk, kid, but no one's gonna help a bunch of ants."
 FLORA,"</b> At least we could try. Oh, I-I could-- I could travel to the city. I could search there!"
ATTA,"</b> If you went, you'd be on that silly search for weeks."
THORNY,</b> Royal huddle.
THORNY,"</b> (whispering) Great idea, princess. It's perfect."
CORNELIUS,</b> Exactly.
ATTA,</b> Wait a minute. What did we just decide here?
 SOIL,</b> To let Flik leave.
CORNELIUS,</b> While we keep harvesting to meet Hopper's demands.
 FLORA,"</b> You see? With Flik gone, he can't --"
ATTA,</b> He can't mess anything up!
ATTA,"</b> Flik, after much deliberation, we have decided...to grant you your request."
FLIK,</b> Really?
QUEEN,</b> Really?
ATTA,"</b> Uh, really."
FLIK,"</b> Oh! Thank you, princess. Thank you so much for this chance. I-I-I won't let you down, I promise, I promise, I promise, I promise."
ATTA,"</b> Yeah, yeah, that's fine, that's fine. No, forget it, forget it."
FLIK,"</b> But I should probably help repair some of the damage before I go, don't you think--"
ANT COUNCIL,"</b> No! No, no!"
ATTA,</b> Just go. Just go.
CORNELIUS,</b> Just leave!
FLIK,</b> (suavely) Hey.
FLIK,"</b> Don't worry! The colony is in good hands! Bye, now."
ANTS,</b> (cheering)
FLIK,</b> (breathes in) All right.
FLIK,"</b> Hey, fellas. Beautiful morning, huh?"
BLUE ANT BOY,</b> My dad says he gives you one hour before you come back to the island crying.
FLIK,"</b> Does he, now?"
VIOLET ANT BOY,</b> My dad doesn't think that.
FLIK,"</b> He doesn't, huh?"
VIOLET ANT BOY,"</b> Nah, he's bettin' you're gonna die. "
FLIK,</b> Oh.
VIOLET ANT BOY,"</b> Yeah, he says if the heat doesn't get you, the birds will."
DOT,"</b> Well, I think he's gonna make it."
VIOLET ANT BOY,"</b> Nobody asked you, Your Royal Shortness."
BLUE ANT BOY,"</b> Yeah, Dot. What do you know?"
FLIK,"</b> Hey, hey, hey. Ease up, all right? Come on. She's entitled to her opinion, too. Ohh..."
BLUE ANT BOY,"</b> So go, already."
BLUE ANT BOY,</b> Hey!
VIOLET ANT BOY,</b> The city's that way!
FLIK,</b> I know.
VIOLET ANT BOY,"</b> You're supposed to look for bugs, not dandelions!"
DOT,</b> You leave him alone. He knows what he's doing.
FLIK,</b> That's right! Here I go! For the colony and for oppressed ants everywhere!
FLIK,</b> Whoa...
DOT,</b> Wow!
FLIK,</b> Hey!
DOT,"</b> Bye, Flik!"
FLIK,</b> Wow. Whoa!
DOT,"</b> Good luck, Flik!"
FLIK,</b> Bye! (pained grunt)
DOT,</b> Flik!
FLIK,</b> (muffled) I'm okay!
BLUE ANT BOY,</b> Your dad's right. He's gonna die.
DOT,"</b> You just watch. He's gonna get the bestest, roughest bugs you've ever seen!"
DIM,</b> (roaring)
ROSIE,"</b> Get back! Get back! Get back, you horrible beast! I have no fear!"
DIM,</b> Oh! (whimpers)
ROSIE,"</b> Oh, my goodness."
DIM,</b> (crying)
FLIES,</b> (booing)
ROSIE,"</b> Oh, I'm so sorry, Dim."
DIM,"</b> Owie! Owie, owie! (sobs)"
ROSIE,"</b> An owie? Okay, show Rosie the owie. All right, Dim. It's okay."
FLY MOM,</b> (frustrated sigh) I have been in outhouses that didn't stink that bad. This is ridiculous. What a disappointment.
 FLEA,</b> (gasp) No!
FLY,</b> You! Come here! I want my money back!
 FLEA,"</b> Uh, no refunds after the first two minutes."
ROACH,</b> Popcorn! Stale popcorn!
 FLEA,</b> We're losin' the audience! You clowns get out there now!
HEIMLICH,</b> (groan) I hate performing on an empty stomach!
 FLEA,"</b> Do your act, Heimlich. Then you can eat."
SLIM,"</b> P.T., what's the point?"
 FLEA,"</b> Not now, Slim."
SLIM,</b> What's the point of going out there? They'll only laugh at me.
 FLEA,</b> That's because you're a clown!
SLIM,"</b> No, it's because I'm a prop! You always cast me as the broom, the pole, the stick!"
SLIM,</b> A splinter!
 FLEA,</b> You're a walking stick. It's funny! Now go!
SLIM,</b> You parasite.
FLIES,</b> (booing)
SLIM,</b> Tra-la-la-la-la. Spring is in the air. And I'm a flower with nothing interesting to say.
FRANCIS,</b> (high-pitched) Ah!
SLIM,</b> A bee!
HEIMLICH,</b> I am a cute little bumblebee!
HEIMLICH,</b> Here I come!
 FRANCIS,</b> (dramatically screaming)
HEIMLICH,"</b> (panting) Slow down, you flowers!"
HEIMLICH,</b> Oh! Candy corn! (pants) Here. Let me help you to finish it.
FLY,"</b> Hey, cutie! Wanna pollinate with a real bug? (laughing raucously) Ooh! Come to Papa, yeah!"
FRANCIS,"</b> So! Being a ladybug automatically makes me a girl! Is that it, fly boy?! Huh?!"
FLY,</b> Yikes! She's a guy!
HEIMLICH,"</b> Francis, leave them alone. They are poo-poo heads!"
 FLEA,</b> Not again.
FRANCIS,"</b> Judging by your breath, you must have been buzzin' around a dung heap all day!"
SLIM,"</b> Come on, Francis. You're making the maggots cry."
MAGGOTS,</b> (wailing)
GYPSY,</b> (operatic vocalizing)
 FLEA,"</b> All right, we're dying out there. Gypsy, quick, you and Manny--"
GYPSY,</b> Shh. He's in a trance.
 FLEA,"</b> Well, get him out of it! You and your husband are up now!"
GYPSY,"</b> Manny, we're on."
MANNY,"</b> Oh? Yet again it is up to me to rescue the performance. Gypsy, come."
GYPSY,</b> (humming)
MANNY,"</b> (crashes, groans)"
GYPSY,"</b> Stage is the other way, dear."
MANNY,"</b> Yes, of course."
FRANCIS,"</b> Anytime, pal! I'm gonna pick the hairs out of your head one by one!"
FLY,</b> Take your best shot!
FRANCIS,</b> You name the place!
FLY,"</b> Oh, yeah?"
FRANCIS,"</b> Yeah, 'cause when you get there, you are dead!"
SLIM,"</b> Francis, let me handle this. That's no way to speak to a lady."
FRANCIS,"</b> I heard that, you twig!"
 FLEA,"</b> Ladies and gentlemen, allow me to present Manto the Magnificent and his lovely assistant, Gypsy!"
MANNY,"</b> From the most mysterious regions of uncharted Asia, I give you the Chinese Cabinet of Metamorphosis!"
 FLEA,"</b> Rosie, whole troupe! On stage! Finale! Now!"
ROSIE,"</b> Okay, I just need a little time to--"
 FLEA,</b> Now!
ROSIE,"</b> Coming. Coming. Tuck, Roll. Let's get moving, guys. We're up next."
 ROLL,</b> (speaking foreign language)
ROSIE,</b> Don't you understand? We are up!
 ROLL,</b> Up-a! Up-a! (speaking foreign language)
 ROLL,</b> Hey!
ROSIE,</b> Hey! They don't understand me.
MANNY,</b> I summon the voice of Confucius...
FLY,"</b> Get off the stage, you old hack!"
MANNY,</b> (yelps) I demand to know who said that! (grunts)
MANNY,</b> How dare you! (yelps)
FLIES,</b> (booing)
MANNY,</b> Ingrates!
GYPSY,</b> (muffled) Manny? Manny!
FLY,"</b> I only got 24 hours to live, and I ain't gonna waste it here! Come on!"
 FLEA,</b> (screams)
 FLEA,</b> I've just about had it with these losers!
 FLEA,</b> Flaming death!
 FLEA,</b> I hold in my hand...the match! The match that decides whether two bugs live or die this very evening.
 FLEA,"</b> In a moment, I will light this trail of matches, leading to a sheet of flypaper doused in lighter fluid! Aimed directly at the flypaper are Tuck and Roll, the pill-bug cannonballs! The cannon will be triggered by Dim, trained to jump at the sound of this bell, set to go off in 15 seconds."
 FLEA,"</b> Our pill bugs' only hope of survival is our mistress of the high wire, Rosie! Secured to a web line of exact length, Rosie will plummet down to these two posts, spinning a web of safety in less than 15 seconds!"
 FLEA,"</b> Not good enough, you say? Well, what if they were all blindfolded?"
 FLEA,"</b> Ladies and gentlemen, may I suggest that those of you with weak constitutions leave the arena, for this act is so dangerous that if the slightest thing should go wrong..."
 FLEA,</b> No!
ROSIE,"</b> Go? Whoa! Okay, through the tunnel..."
GYPSY,</b> Whoa!
DIM,</b> (laughs)
ROSIE,"</b> Okay, that's done!"
 FLEA,</b> Whoa!
HEIMLICH,</b> (screams)
FRANCIS,</b> P.T.!
SLIM,"</b> Oh, no!"
ROSIE,"</b> Oh, dear..."
 FLEA,"</b> (panics, grunts)"
FRANCIS,</b> Water! We need some water!
SLIM,"</b> Water, water, water, water!"
FLIES,</b> (laughing)
 FLEA,</b> (panicking) Help! (grunting) Get me out of here!
 FLEA,</b> (laughs triumphantly)
FLY,</b> Wow!
ROSIE,</b> It's the-the web. I'm sorry. It's--
 FLEA,</b> You're all fired.
FRANCIS,</b> We got the water!
HEIMLICH,"</b> Here we come, P.T.!"
SLIM,</b> We'll save you!
FLY,</b> (clapping) Whoo! Whoa!
FLY,</b> Burn him again!
FLY,"</b> No! Harry, no! Don't look at the light!"
HARRY,</b> I can't help it... It's so beautiful!
HARRY,</b> (screams)
FLIK,</b> Try not to look like a country bug. Blend. Blend in.
BUG,"</b> Hey, buggy! Hey, buggy!"
BUG,</b> What do you expect? The guy's a tick.
BUG,</b> (laughing)
FLIK,</b> Wow! The city!
FLIK,</b> (impressed laugh)
BEETLE CAB,"</b> Makin' all stops to the septic tank, including standing water, empty bean can and dead rat. Watch your stingers. All aboard!"
BUG,"</b>  Hey, watch it."
BUG,</b>  Get out of the way!
FLIK,"</b> Oh, sorry."
SNAIL,</b> Ow! Watch where you're goin'!
FLIK,"</b> I'm sorry. I didn't mean to do that. I didn't-- Oh, sorry!"
FLIK,"</b> Oh. I'm really, really sorry. That was an... An accident."
MOSQUITO,"</b> Hey, tough guy!"
FLY,"</b> Hey, let go of me!"
BEE,</b> I'll show you who's tough! And stay out!
FLIK,</b> Tough bugs!
ROACH,</b> I knew an old lady who swallowed a fly...
FLIK,</b> Wow...
FLY,</b> Move it!
FLIK,</b> Whoa!
BUG,"</b> Hey, waiter! I'm in my soup!"
BUG,</b> I've been working out. Feel my wing.
FLY,</b> Yo! Two Black Flags over here!
FLY,</b> All right.
ROACH,</b> (chuckles) Hair of the dog you bit.
BEETLE WAITRESS,"</b> Hey, who ordered the poo-poo platter?"
MOSQUITO WAITER,"</b> Here you go, slick. Enjoy."
SLUG,"</b> Ow-Oww! Hey, I said no salt!"
BUG,</b> Buzz off!
FLIK,"</b> Pardon me, sir, I was wondering if I could talk to you for a moment. I represent a colony, uh, of ants, and I'm looking for tough bugs, you know, mean bugs, the sort of bugs..."
SLIM,</b> Fired by a flea! How humiliating!
FRANCIS,</b> Let's face it. We stink.
ROLL,</b> You fired!
TUCK,</b> You fired!
ROLL,</b> You fired!
ROSIE,"</b> Oh, will you shut up?"
ROLL,</b> Hey! (laughs)
TUCK,</b> You fired!
HEIMLICH,"</b> Someday I will be a beautiful butterfly, and then everything will be better."
GYPSY,</b> I can't believe the troupe is breaking up. We've always been together.
MANNY,"</b> Farewell, my friends."
FRANCIS,</b> To the audience we'll never have.
SLIM,"</b> (gasps, whispers) Francis! Your boyfriends from the circus are here!"
FRANCIS,</b> (gasp)
FLY,</b> There she is.
FRANCIS,</b> (nervously popping lips)
FLY,"</b> Hello there, girlie bug."
FRANCIS,"</b> Shoo, fly. Don't bother me."
FLY,"</b> Say, why don't you tell our pal, Thud..."
THUD,</b> (growl)
FLY,</b> ...What you said to us at the circus?
FLY,</b> Yeah. Something about buzzing around a dung heap?
FLIK,"</b> Excuse me. Hi. I represent an ant colony, and we're just--"
MOSQUITO,"</b> Hey, bartender! Bloody Mary, O-positive."
FLIK,</b> Sir?
FLIES,"</b> Ladybug, ladybug, fly away home! (laughing)"
FLY,"</b> Not so tough now, are you? All right, clown. Get up and fight like a girl."
FRANCIS,</b> (whispers) Get ready to do the Robin Hood act.
HEIMLICH,</b> (giggles) I want to be Little John!
SLIM,</b> What part can I play?
FLIK,</b> I'm looking for tough warrior bugs.
FRANCIS,"</b> Stand back, ye flies! We are the greatest warriors in all bugdom!"
FLIK,</b> Warrior bugs!
FRANCIS,</b> My sword!
SLIM,"</b> Swish, swish. Clang, clang."
FRANCIS,</b> Little John?
HEIMLICH,"</b> What ho, Robin? Justice is my sword and truth shall be my quiver!"
FLIK,"</b> Wait, wait! No, no! I-I want to watch this!"
SLIM,"</b> Thrust, parry, lunge!"
THUD,</b> (growls)
SLIM,</b> Me thinketh it's not working!
HEIMLICH,"</b> (screams) Back to Sherwood Forest! Schnell, schnell!"
FLIK,</b> What's going on in there?
CIRCUS TROUPE,"</b> (clamoring, screaming)"
SLIM,</b> (muffled) Help! Help! Get me out!
FRANCIS,</b> (grunting)
FLIK,</b> Wow.
CIRCUS TROUPE,</b> (groaning)
ROSIE,"</b> Oh, ow-ow-ow..."
FLIK,"</b> You're perfect! Oh, great ones! I have been scouting for bugs with your exact talents!"
GYPSY,</b> (gasp) A talent scout.
FLIK,</b> My colony's in trouble. Grasshoppers are coming! We've been forced to prepare all this food.
MANNY,</b> Dinner theater!
HEIMLICH,</b> Food?
FLIK,</b> Please! Will you help us?!
THUD,</b> (groan)
FLY,</b> Where are they?
SLIM,</b> We'll take the job!
FLIK,</b> Really?
HEIMLICH,"</b> Yah, yah!"
BUG,"</b> Hurry, hurry! Make haste!"
SLIM,</b> You can explain the details on the way.
ROLL,</b> Hey-hey-hey!
TUCK,</b> (chuckles)
ROLL,</b> (grumbles in foreign language)
ROSIE,"</b> Okay, come on, everyone! Break a leg!"
FLIK,"</b> Whoa, you're vicious!"
DIM,"</b> Hold on, Mr. Ant."
FLIK,</b> Amazing! This is too good to be true!
FLIK,"</b> So you see, it was my fault that Hopper's coming back. But then, Princess Atta... Boy, is she one in a million. She let me go out and find you. And after seeing you fight off those flies... Boy, are those grasshoppers in for a big surprise! (LAUGHING TRIUMPHANTLY)"
TUCK,</b> (asks question in foreign language)
ANT,</b> (moans)
ATTA,</b> Dr. Flora!
 FLORA,"</b> Oh, dear. Not another one."
THORNY,</b> This is insane.
CORNELIUS,</b> Insane.
THORNY,</b> There's just not enough food left on the island! No way we can make double quota before Hopper comes!
ATTA,"</b> Well, we have to try, Thorny. We don't have any choice."
THORNY,</b> Yeah. I know.
BLUE ANT BOY,"</b> Hey, look who's playing lookout again. Little Speck!"
DOT,</b> The name is Dot.
VIOLET ANT BOY,"</b> Well, Spot, you still looking for Flik?"
BLUE ANT BOY,"</b> Forget it, Dot. That loser's never coming back."
DOT,</b> Flik! He did it! He did it!
VIOLET ANT BOY,</b> What?
BLUE ANT BOY,</b> Quit shoving!
FLIK,</b> This is it! This is Ant Island!
DOT,</b> Flik! Over here! Flik! Flik!
FLIK,</b> Hey!
DOT,</b> He did it! He did it! Yay! He did it! He did it!
VIOLET ANT BOY,</b> Cool!
 BLUE ANT BOY,</b> (yelp)
THORNY,"</b> At the rate these leaves are dropping, we're gonna need a miracle."
CORNELIUS,</b> That's right! We need a miracle!
CORNELIUS,</b> Run for your lives!
FRANCIS,</b> Ta-da!
MANNY,"</b> (sighs) Once again, our reputation precedes us."
FLIK,"</b> Hey, everybody! Hey! I'm back!"
FLIK,"</b> Hey, guys! Hey! Look. Look!"
FLIK,</b> Look who's here with me!
DOT,</b> Flik! Flik! Flik! You're back!
DOT,</b> I knew you could do it!
 SOIL,</b> Flik has returned!
ATTA,</b> He's back?
 SOIL,</b> And he's accompanied by savage insects!
ATTA,</b> What? How? He wasn't supposed to actually find someone!
CORNELIUS,"</b> Oh, my ticker!"
BLUE ANT BOY,"</b> So, what are you supposed to be?"
VIOLET ANT BOY,"</b> He's a stick, stupid. You hit bugs with him."
SLIM,</b> That's an oversimplification.
FRANCIS,"</b> That's right, kids. Like this!"
SLIM,</b> No! Put me down! Oh!
 ROLL,</b> Hey!
 FLORA,"</b> My, you just pop right open there, don't ya?"
ANT KIDS,</b> Ooh! Wow!
ROSIE,"</b> Kids, he's kind of ticklish."
DIM, (laughing)
ROSIE,</b> Let's come on out. Careful.
ANT KIDS,</b> (screaming and laughing)
QUEEN,"</b> Well, my boy, you came through! Aphie and I are very impressed."
FLIK,</b> Princess Atta! Hey!
